Age	Income	Education	Experience	Saving	Happyness
30	50000	12	5	10000	7.8
35	60000	14	7	12000	8.5
32	55000	13	6	11000	8
38	70000	15	4	13000	9.2
31	52000	12	4	9000	7
34	58000	11	8	11500	8.3
33	54000	14	7	10500	7.6
39	75000	16	5	13500	9.7
32	53000	12	5	10200	7.2
36	62000	13	7	12500	8.8
41	80000	16	9	14000	9.9
29	48000	11	3	8000	6.5
37	68000	15	6	12800	9.1
33	56000	13	5	10800	7.9
40	77000	15	8	13200	9.5
31	51000	12	4	9500	7.2
35	59000	14	7	11900	8.4
34	57000	13	6	11200	8.1
42	82000	16	10	15000	9.8
33	55000	12	5	10400	7.5
37	64000	14	8	12600	8.9
31	52000	13	5	9800	7
39	73000	15	7	13700	9.4
28	47000	11	3	7500	6.3
36	66000	14	6	12400	8.7
34	58000	13	6	11000	8
43	84000	16	11	16000	9.9
32	54000	12	4	10100	7.1
38	65000	14	8	12700	9
30	49000	13	5	9700	6.8
40	75000	15	9	13800	9.6
29	46000	11	3	7200	6.1
35	61000	14	6	12100	8.6
33	56000	13	6	10900	7.8
44	87000	17	12	17000	10.5
32	52000	12	4	9900	7
37	63000	14	7	12900	9.2
31	50000	13	5	9600	6.9
41	78000	15	9	14300	9.8
30	48000	11	3	8200	6.5
36	67000	14	7	12300	8.9
35	59000	13	6	11500	8.3
45	89000	17	13	18000	10.8
31	53000	12	4	10000	7
38	66000	14	8	13000	9.1
29	47000	13	5	9400	6.6
42	80000	15	10	14600	10.2
30	49000	11	3	8700	6.8
37	65000	14	7	12600	8.8
34	57000	13	6	11300	8.1
